N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
500,4.1,0.3,0.04,6,1521,8,35,1,4
500,4.1,0.3,0.02,7,2345,11,32,0,6
500,4.1,0.3,0.01,4,1675,7,37,2,8
500,4.1,0.3,0.005,5,2879,13,31,1,14
500,4.1,0.3,0.0025,8,8991,7,33,2,17
500,4.1,0.3,0.00125,5,4957,8,36,1,12
