N,a,f,sat,sp,unconv,contr,indet,totaltime
12000,4.22,0.04,20,18142,27,3,0,745
12000,4.22,0.02,33,47768,17,0,0,1069
12000,4.22,0.01,36,82934,14,0,0,1634
12000,4.22,0.005,36,122078,14,0,0,2517
12000,4.22,0.0025,37,194768,12,0,1,3945
12000,4.22,0.00125,39,328807,9,0,2,6409
