N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
12000,4.2,0.85,0.04,0,0,48,2,0,1089
12000,4.2,0.85,0.02,0,0,47,3,0,1103
12000,4.2,0.85,0.01,0,0,48,2,0,1161
12000,4.2,0.85,0.005,0,0,48,2,0,1281
12000,4.2,0.85,0.0025,0,0,48,2,0,1386
12000,4.2,0.85,0.00125,0,0,50,0,0,1834
