N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
12000,4.1,0.7,0.04,28,10738,6,1,15,666
12000,4.1,0.7,0.02,35,20078,6,0,9,769
12000,4.1,0.7,0.01,39,33753,3,0,8,951
12000,4.1,0.7,0.005,42,58768,2,0,6,1305
12000,4.1,0.7,0.0025,37,78932,3,0,10,1965
12000,4.1,0.7,0.00125,40,138406,2,0,8,3103
