N,a,Q,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.24,0.3,0.04,1,830,49,11,0,0,4085
25000,4.24,0.3,0.02,3,5016,46,23,1,0,5863
25000,4.24,0.3,0.01,7,22031,39,47,0,4,9619
25000,4.24,0.3,0.005,8,36515,36,89,0,6,14131
25000,4.24,0.3,0.0025,12,98556,32,176,0,6,21347
25000,4.24,0.3,0.00125,12,142694,35,377,0,3,30911
