N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
6000,3.9,0.85,0.04,16,1479,1,30,3,72
6000,3.9,0.85,0.02,17,1544,1,31,1,64
6000,3.9,0.85,0.01,19,1768,3,22,6,108
6000,3.9,0.85,0.005,27,2843,8,8,7,150
6000,3.9,0.85,0.0025,29,3305,8,5,8,183
6000,3.9,0.85,0.00125,28,3338,11,2,9,210
