N,a,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.24,0.04,4,5866,45,10,1,0,2706
25000,4.24,0.02,12,25246,38,22,0,0,3988
25000,4.24,0.01,17,60793,31,49,1,1,5876
25000,4.24,0.005,17,83211,31,102,0,2,9122
25000,4.24,0.0025,25,217125,24,197,0,1,14359
25000,4.24,0.00125,26,351765,24,411,0,0,21666
