N,a,f,sat,sp,unconv,contr,indet,totaltime
500,4.22,0.04,9,3912,36,2,3,12
500,4.22,0.02,12,8982,34,2,2,16
500,4.22,0.01,11,10101,34,3,2,23
500,4.22,0.005,12,21009,35,1,2,40
500,4.22,0.0025,11,27513,36,0,3,56
500,4.22,0.00125,10,18868,36,2,2,54
