N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
12000,4.2,0.3,0.04,22,16870,21,4,3,633
12000,4.2,0.3,0.02,34,38169,13,1,2,861
12000,4.2,0.3,0.01,39,67380,8,0,3,1240
12000,4.2,0.3,0.005,41,107571,5,0,4,1958
12000,4.2,0.3,0.0025,42,175641,7,0,1,3103
12000,4.2,0.3,0.00125,43,291971,6,0,1,4990
