N,a,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.22,0.04,21,25420,29,14,0,0,2689
25000,4.22,0.02,40,66523,10,27,0,0,3260
25000,4.22,0.01,45,112013,5,58,0,0,4178
25000,4.22,0.005,47,181066,3,114,0,0,6562
25000,4.22,0.0025,49,296376,1,248,0,0,11073
25000,4.22,0.00125,49,470754,1,506,0,0,17759
