N,a,f,sat,sp,unconv,contr,indet,totaltime
12000,4.24,0.04,7,9638,41,1,1,962
12000,4.24,0.02,10,17388,40,0,0,1433
12000,4.24,0.01,14,36622,36,0,0,2151
12000,4.24,0.005,19,88950,31,0,0,3127
12000,4.24,0.0025,17,114039,33,0,0,5144
12000,4.24,0.00125,18,192330,32,0,0,7684
