N,a,f,sat,sp,unconv,contr,indet,totaltime
6000,4.2,0.04,32,24727,18,0,0,222
6000,4.2,0.02,38,40963,12,0,0,251
6000,4.2,0.01,40,68760,10,0,0,391
6000,4.2,0.005,40,102798,10,0,0,602
6000,4.2,0.0025,40,158800,10,0,0,982
6000,4.2,0.00125,42,290096,8,0,0,1658
