N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
12000,4.23,0.5,0.04,0,0,50,0,0,1047
12000,4.23,0.5,0.02,0,0,49,0,1,1453
12000,4.23,0.5,0.01,0,0,48,0,2,2191
12000,4.23,0.5,0.005,0,0,46,0,4,3300
12000,4.23,0.5,0.0025,0,0,46,0,4,5399
12000,4.23,0.5,0.00125,0,0,47,0,3,9060
