N,a,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.23,0.04,9,9449,39,12,2,0,2794
25000,4.23,0.02,26,47445,23,27,0,1,3753
25000,4.23,0.01,35,102494,14,57,0,1,5646
25000,4.23,0.005,41,181309,9,102,0,0,8366
25000,4.23,0.0025,43,306181,7,202,0,0,13326
25000,4.23,0.00125,43,491649,7,398,0,0,18086
