N,a,f,sat,sp,unconv,contr,indet,totaltime
6000,4.21,0.04,14,9872,35,1,0,241
6000,4.21,0.02,18,20982,31,0,1,359
6000,4.21,0.01,18,30068,29,0,3,571
6000,4.21,0.005,24,71457,26,0,0,829
6000,4.21,0.0025,23,105825,26,0,1,1306
6000,4.21,0.00125,25,185191,24,0,1,2381
