N,a,Q,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.22,0.3,0.04,15,15778,31,14,2,2,2853
25000,4.22,0.3,0.02,32,49306,14,28,0,4,5058
25000,4.22,0.3,0.01,39,93195,7,65,0,4,7190
25000,4.22,0.3,0.005,42,151720,6,121,0,2,8987
25000,4.22,0.3,0.0025,45,266436,5,223,0,0,15134
25000,4.22,0.3,0.00125,45,413547,2,337,0,3,21346
