N,a,Q,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.2,0.3,0.04,36,31171,9,16,3,2,1992
25000,4.2,0.3,0.02,47,59070,2,30,0,1,2643
25000,4.2,0.3,0.01,49,89403,1,72,0,0,3836
25000,4.2,0.3,0.005,50,137452,0,0,0,0,6005
