N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
12000,4.22,0.85,0.04,0,0,50,0,0,1045
12000,4.22,0.85,0.02,0,0,48,2,0,1062
12000,4.22,0.85,0.01,0,0,50,0,0,1190
12000,4.22,0.85,0.005,0,0,48,2,0,1143
12000,4.22,0.85,0.0025,0,0,50,0,0,1281
12000,4.22,0.85,0.00125,0,0,49,1,0,1223
