N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
6000,4.21,0.5,0.04,0,0,47,0,3,394
6000,4.21,0.5,0.02,0,0,47,0,3,592
6000,4.21,0.5,0.01,0,0,45,1,4,839
6000,4.21,0.5,0.005,1,2083,43,0,6,1210
6000,4.21,0.5,0.0025,1,3258,44,0,5,1866
6000,4.21,0.5,0.00125,1,5616,44,0,5,3190
