N,a,f,sat,sp,unconv,contr,indet,totaltime
12000,4.2,0.04,33,26092,15,2,0,547
12000,4.2,0.02,47,55538,2,1,0,749
12000,4.2,0.01,48,82648,2,0,0,1162
12000,4.2,0.005,49,135923,1,0,0,1809
12000,4.2,0.0025,48,192975,2,0,0,2856
12000,4.2,0.00125,48,309514,2,0,0,4582
