N,a,Q,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.2,0.7,0.04,0,0,50,10,0,0,2403
25000,4.2,0.7,0.02,1,1251,46,20,1,2,3369
25000,4.2,0.7,0.01,0,0,44,39,0,6,5225
25000,4.2,0.7,0.005,0,0,41,70,0,9,7618
25000,4.2,0.7,0.0025,1,5033,39,149,0,10,11989
25000,4.2,0.7,0.00125,2,15896,39,298,0,9,18364
