N,a,f,sat,sp,unconv,contr,indet,totaltime
6000,4.24,0.04,8,7130,40,2,0,290
6000,4.24,0.02,16,23991,32,1,1,416
6000,4.24,0.01,16,35278,34,0,0,609
6000,4.24,0.005,21,82050,29,0,0,974
6000,4.24,0.0025,19,112503,30,0,1,1523
6000,4.24,0.00125,20,183585,29,0,1,2382
