N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
500,3.5,0.5,0.04,21,550,0,24,5,1
500,3.5,0.5,0.02,26,623,0,18,6,2
500,3.5,0.5,0.01,23,563,0,24,3,1
500,3.5,0.5,0.005,23,551,0,18,9,2
500,3.5,0.5,0.0025,32,806,0,10,8,2
500,3.5,0.5,0.00125,35,975,0,7,8,2
