N,a,Q,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.21,0.3,0.04,24,22837,24,16,2,0,1642
25000,4.21,0.3,0.02,42,61487,4,31,0,4,2199
25000,4.21,0.3,0.01,47,98540,2,57,0,1,3161
25000,4.21,0.3,0.005,50,166282,0,0,0,0,4980
