N,a,f,sat,sp,unconv,contr,indet,totaltime
6000,4.23,0.04,7,5862,43,0,0,311
6000,4.23,0.02,13,18362,36,1,0,493
6000,4.23,0.01,19,41971,31,0,0,730
6000,4.23,0.005,19,60444,29,0,2,1083
6000,4.23,0.0025,23,125723,27,0,0,1955
6000,4.23,0.00125,22,184785,28,0,0,2391
