N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
500,4.21,0.3,0.04,1,209,12,36,1,6
500,4.21,0.3,0.02,1,252,13,36,0,7
500,4.21,0.3,0.01,2,1297,12,36,0,10
500,4.21,0.3,0.005,3,2061,11,36,0,17
500,4.21,0.3,0.0025,2,1718,10,37,1,17
500,4.21,0.3,0.00125,1,734,7,42,0,17
