N,a,f,sat,sp,unconv,contr,indet,totaltime
6000,4.22,0.04,7,5943,41,1,1,410
6000,4.22,0.02,14,18780,34,2,0,491
6000,4.22,0.01,20,42972,30,0,0,763
6000,4.22,0.005,20,62237,30,0,0,1183
6000,4.22,0.0025,23,120608,26,0,1,1796
6000,4.22,0.00125,24,208568,24,1,1,2533
