N,a,Q,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.21,0.5,0.04,6,5249,40,14,0,4,1945
25000,4.21,0.5,0.02,20,26091,23,26,0,7,2744
25000,4.21,0.5,0.01,29,62657,11,52,1,9,4207
25000,4.21,0.5,0.005,32,101387,10,98,0,8,6191
25000,4.21,0.5,0.0025,31,154468,10,193,0,9,9919
25000,4.21,0.5,0.00125,32,262133,9,445,0,9,15579
