N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
12000,4.23,0.3,0.04,8,8091,39,0,3,851
12000,4.23,0.3,0.02,12,16543,33,1,4,1233
12000,4.23,0.3,0.01,16,32856,29,1,4,1829
12000,4.23,0.3,0.005,21,72063,26,0,3,2808
12000,4.23,0.3,0.0025,20,102767,27,0,3,4386
12000,4.23,0.3,0.00125,22,188877,25,0,3,7079
