N,a,f,sat,sp,unconv,contr,indet,totaltime
500,4.1,0.04,39,11268,9,2,0,4
500,4.1,0.02,42,17836,7,1,0,6
500,4.1,0.01,42,24137,6,1,1,9
500,4.1,0.005,42,40691,7,1,0,14
500,4.1,0.0025,43,64542,6,0,1,21
500,4.1,0.00125,43,64523,6,0,1,21
