N,a,Q,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.23,0.5,0.04,0,0,48,11,2,0,3518
25000,4.23,0.5,0.02,1,1447,47,23,0,2,5434
25000,4.23,0.5,0.01,3,6994,40,46,0,7,8085
25000,4.23,0.5,0.005,5,22194,40,99,0,5,12506
25000,4.23,0.5,0.0025,6,36428,36,193,0,8,19077
25000,4.23,0.5,0.00125,5,51339,36,389,0,9,29232
