N,a,Q,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.1,0.85,0.04,4,2098,29,4,0,17,4073
25000,4.1,0.85,0.02,6,5253,31,8,0,13,4672
25000,4.1,0.85,0.01,8,10827,31,14,1,10,6012
25000,4.1,0.85,0.005,7,15608,33,25,1,9,7196
25000,4.1,0.85,0.0025,9,30142,32,51,0,9,10242
25000,4.1,0.85,0.00125,11,66102,33,95,0,6,14217
