N,a,f,sat,sp,unconv,contr,indet,totaltime
500,4.24,0.04,8,3195,35,7,0,12
500,4.24,0.02,8,5068,35,5,2,18
500,4.24,0.01,8,9050,37,2,3,26
500,4.24,0.005,6,7038,40,1,3,41
500,4.24,0.0025,8,19468,37,2,3,56
500,4.24,0.00125,7,13551,39,1,3,55
