N,a,Q,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.23,0.3,0.04,4,5531,41,12,5,0,3310
25000,4.23,0.3,0.02,15,28001,30,26,1,4,4575
25000,4.23,0.3,0.01,30,86170,18,50,0,2,6851
25000,4.23,0.3,0.005,30,131543,19,105,0,1,10763
25000,4.23,0.3,0.0025,33,236098,15,194,0,2,16525
25000,4.23,0.3,0.00125,31,342542,17,401,0,2,26684
