N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
6000,4.23,0.3,0.04,5,3199,42,1,2,409
6000,4.23,0.3,0.02,7,6477,40,1,2,622
6000,4.23,0.3,0.01,9,13449,39,0,2,983
6000,4.23,0.3,0.005,8,17873,42,0,0,1518
6000,4.23,0.3,0.0025,10,47178,39,0,1,1913
6000,4.23,0.3,0.00125,11,77406,39,0,0,3260
