N,a,f,sat,sp,unconv,contr,indet,totaltime
500,4.23,0.04,6,1864,38,5,1,12
500,4.23,0.02,9,6928,39,2,0,17
500,4.23,0.01,7,5916,39,2,2,26
500,4.23,0.005,8,11731,38,3,1,41
500,4.23,0.0025,8,16406,39,2,1,57
500,4.23,0.00125,8,16469,39,2,1,57
