N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
500,4.2,0.3,0.04,2,494,10,37,1,5
500,4.2,0.3,0.02,1,539,15,34,0,8
500,4.2,0.3,0.01,1,822,11,38,0,9
500,4.2,0.3,0.005,0,0,13,37,0,14
500,4.2,0.3,0.0025,1,1787,16,33,0,21
500,4.2,0.3,0.00125,1,1837,16,31,2,22
