N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
500,4.21,0.85,0.04,0,0,0,50,0,0
500,4.21,0.85,0.02,0,0,0,50,0,0
500,4.21,0.85,0.01,0,0,0,50,0,0
500,4.21,0.85,0.005,0,0,0,50,0,0
500,4.21,0.85,0.0025,0,0,0,50,0,0
500,4.21,0.85,0.00125,0,0,0,50,0,0
