N,a,Q,f,sat,sp,unconv,contr,indet,totaltime
500,3.9,0.3,0.04,41,2491,0,9,0,1
500,3.9,0.3,0.02,40,2619,0,10,0,1
500,3.9,0.3,0.01,44,3493,0,6,0,1
500,3.9,0.3,0.005,40,3618,0,9,1,2
500,3.9,0.3,0.0025,46,5875,0,3,1,2
500,3.9,0.3,0.00125,45,4233,0,5,0,2
