N,a,Q,f,sat,sp,unconv,avgsiditinunconv,contr,indet,totaltime
25000,4.24,0.85,0.04,0,0,49,1,1,0,4237
25000,4.24,0.85,0.02,0,0,49,2,1,0,4614
25000,4.24,0.85,0.01,0,0,49,2,1,0,4786
25000,4.24,0.85,0.005,0,0,49,3,1,0,5161
25000,4.24,0.85,0.0025,0,0,50,5,0,0,5928
25000,4.24,0.85,0.00125,0,0,49,12,1,0,7940
