N,a,f,sat,sp,unconv,contr,indet,totaltime
500,4.2,0.04,16,5356,29,1,4,11
500,4.2,0.02,18,9060,29,1,2,15
500,4.2,0.01,20,15650,27,1,2,19
500,4.2,0.005,20,26562,26,2,2,32
500,4.2,0.0025,20,36930,28,0,2,45
500,4.2,0.00125,19,33847,27,2,2,45
